StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q75,GENDER,EDU,RACE,RACE_7_TEXT,AGE_CAT,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,KNOW_EDU,KNOW_HELP,AI,FOLLOW,IDEO_1,PARTY7,PPID_1,PPID_2,PPID_3,PPID_4,CHECK,CHECK_6_TEXT,BEN_3_1,BEN_3_2,BEN_3_3,IMM_3_1,IMM_3_2,IMM_3_3,TRUMP_ECON_3_1,TRUMP_ECON_3_2,TRUMP_ECON_3_3,FAIR,BIASED,TRUST,AGREE,CIVIL_FAIR,CIVIL_BIASED,CIVIL_TRUST,CIVIL_AGREE,FACTS_FAIR,FACTS_BIASED,FACTS_TRUST,FACTS_AGREE,DEC_FAIR,DEC_BIASED,DEC_TRUST,DEC_AGREE,IMM_AGREE,IMM_QUALITY,IMM_CRED,IMM_BIASED,BEN_AGREE,BEN_QUALITY,BEN_CRED,BEN_BIASED,TE_AGREE,TE_QUALITY,TE_CRED,TE_BIASED,OPEN,AGE,RELIGION,RELIGION_11_TEXT,BORN_AGAIN,INCOME,condition,pro,pid,psid,screen,caps_person_mod,lc_moderator,caps_moderator,lc_trained,lc_person,lc_journo,lc_journo_verb,lc_person_pronoun,lc_no_artilce,lc_analysis,lc_person_pronoun_no_article,lc_write_gen,lc_write_gen_post,lc_this_person,lc_wrote_gen_post,lc_generating,lc_this_mod,party,own_imm_lib,own_ben_lib,own_trump_lib,imm_lib,ben_lib,trump_lib
11/27/2019 16:26,11/27/2019 16:44,0,73.21.185.177,100,1038,1,11/27/2019 16:44,R_2c5ynUXCpVPL841,,,,,28.92689514,-81.92269897,anonymous,EN,1,1,3,6,,6,5,5,4,4,5,2,"1,2,3,4,5,6,7,8,9,10",7,5,4,7,7,7,1,2,,10,8,7,10,8,8,7,7,7,2,2,3,3,3,3,3,4,2,2,1,1,2,2,2,2,6,5,4,4,4,4,3,4,3,2,2,2,,72,2,,2,9,3,1,1517659627,KS_G9QDMwM2SBw5WbgkNVQ**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,independent,8.666666667,8.333333333,7,0,0,1
11/27/2019 16:26,11/27/2019 16:45,0,76.188.76.62,100,1098,1,11/27/2019 16:45,R_Amup9XYemwKtAOZ,,,,,40.63710022,-82.23930359,anonymous,EN,1,2,5,6,,5,4,4,3,4,5,3,"1,2,7,8,9,10",20,5,4,6,4,4,3,2,,1,1,1,13,5,13,6,8,9,4,6,4,5,6,4,4,5,6,6,5,6,4,4,4,3,7,5,5,2,7,7,7,7,4,5,5,4,,56,2,,2,11,2,1,1615877739,KS_G9QDMwM1lX7VHa-JESA**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,independent,10.33333333,1,7.666666667,0,1,0
11/27/2019 16:39,11/27/2019 16:46,0,68.172.56.181,100,407,1,11/27/2019 16:46,R_1pJPhhuPm7UqRrt,,,,,43.43940735,-76.46130371,anonymous,EN,1,2,7,6,,3,2,4,1,1,5,1,11,7,5,4,4,4,4,2,2,,7,6,6,5,7,6,6,6,6,4,4,4,4,7,7,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,,37,10,,,24,2,1,1661714177,KS_G9QDMwM2Z-8JetWdACA**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,independent,6,6.333333333,6,1,1,1
11/27/2019 16:39,11/27/2019 16:46,0,173.17.22.246,100,449,1,11/27/2019 16:46,R_2CdeWrEJIR2MOJK,,,,,41.57569885,-93.73639679,anonymous,EN,1,2,6,6,,4,4,4,4,3,1,2,"1,2,3,4,5,6,7,8,9,10",7,7,1,7,4,4,1,2,,1,1,1,6,13,1,7,1,8,3,4,1,1,5,4,4,5,5,4,4,5,4,5,5,5,4,2,1,1,4,7,7,7,4,5,4,7,,49,10,,,3,3,0,1565295631,KS_G9QDMwM1nA-r2r097Kw**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,6.666666667,1,5.333333333,0,0,0
11/27/2019 16:44,11/27/2019 16:49,0,71.246.245.144,100,291,1,11/27/2019 16:49,R_1K3WFYQCjf7PM98,,,,,38.58450317,-76.89409637,anonymous,EN,1,1,3,4,,1,2,3,3,4,2,2,"2,4",20,8,2,5,7,6,6,2,,8,6,10,6,10,9,8,10,8,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,,23,2,,1,19,1,1,1634549499,KS_G9QDMwM1Ky3oaX6xNJA**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Democrat,8.333333333,8,8.666666667,0,0,0
11/27/2019 16:39,11/27/2019 16:49,0,104.136.223.126,100,608,1,11/27/2019 16:49,R_20MTwKKREDcdWio,,,,,28.74780273,-82.4992981,anonymous,EN,1,1,3,6,,6,1,3,1,3,5,1,"1,2,4,5,6,7,8,9",7,9,6,6,3,4,1,2,,9,4,10,3,7,8,10,8,10,4,4,2,3,1,3,3,3,2,2,1,1,4,5,4,5,2,2,2,2,3,4,3,4,2,2,2,2,,66,2,,2,12,2,0,1501051859,KS_G9QDMwM1ypNnC7FVD_w**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,Republican,6,7.666666667,9.333333333,0,1,1
11/27/2019 16:49,11/27/2019 16:50,0,70.185.108.49,100,54,1,11/27/2019 16:50,R_1iqBwy1CfPIqsTg,,,,,29.64750671,-82.40399933,anonymous,EN,1,2,7,6,,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1541859269,KS_G9QDMwM2wOzfPW5o2eg**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:49,11/27/2019 16:50,0,73.150.10.200,100,56,1,11/27/2019 16:50,R_1o8dd7A5xx8Ldd7,,,,,39.80130005,-75.00309753,anonymous,EN,1,1,5,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1501356000,KS_G9QDMwM2NrZo2RuQWVg**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:53,11/27/2019 16:53,0,173.171.116.38,100,36,1,11/27/2019 16:53,R_BXsHxjcdFmr8L0R,,,,,28.19509888,-81.60620117,anonymous,EN,1,2,4,6,,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1642648565,KS_G9QDMwM0MVL9pYzxh6A**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:53,11/27/2019 16:53,0,173.64.88.248,100,23,1,11/27/2019 16:53,R_3EyWH4vp2gCZ1VX,,,,,39.41259766,-76.5789032,anonymous,EN,1,1,6,6,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1502067408,KS_G9QDMwM3mePU7MmQ35Q**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:46,11/27/2019 16:55,0,97.100.69.66,100,540,1,11/27/2019 16:55,R_2YXoh4A6O8eyeyZ,,,,,28.30560303,-81.41970062,anonymous,EN,1,2,5,6,,5,1,1,1,2,1,1,"1,7,8,9,10",8,3,4,7,7,7,1,2,,3,3,5,13,12,13,3,2,1,5,4,3,3,6,7,4,5,4,7,3,4,3,3,2,5,1,1,1,7,2,1,2,2,1,1,1,1,,59,12,,,6,3,0,1616323724,KS_G9QDMwM3oXth-mRpuAg**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,independent,12.66666667,3.666666667,2,1,0,0
11/27/2019 16:49,11/27/2019 16:59,0,98.5.0.240,100,620,1,11/27/2019 16:59,R_8bRFzU4q6q0TJpn,,,,,42.98100281,-78.61620331,anonymous,EN,1,1,5,6,,6,1,1,1,5,5,1,"1,2,4,5,6,7,8,9,10",7,5,4,4,4,4,1,2,,1,1,12,3,3,11,7,7,10,3,4,3,3,5,4,4,3,2,4,3,3,2,2,2,2,3,3,2,1,2,3,1,1,2,2,1,1,,66,2,,2,25,2,1,1506040922,KS_G9QDMwM1AP4t0dz_1gw**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,independent,5.666666667,4.666666667,8,1,1,0
11/27/2019 16:54,11/27/2019 17:01,0,73.88.200.130,100,400,1,11/27/2019 17:01,R_3KTu5fl0pEDaA7K,,,,,36.26460266,-86.70200348,anonymous,EN,1,2,5,6,,2,4,5,2,3,5,3,"1,2,3,4,5,6,7,8,9,10",4,0,2,6,4,4,5,2,,4,2,1,1,2,1,3,2,3,5,7,5,7,6,6,6,7,5,6,5,7,5,3,4,6,1,1,1,1,3,3,2,5,3,4,4,5,,31,9,,,20,2,0,1517970008,KS_G9QDMwM0ty8fSQ6FRNQ**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,Democrat,1.333333333,2.333333333,2.666666667,0,0,0
11/27/2019 16:56,11/27/2019 17:02,0,75.83.240.27,100,340,1,11/27/2019 17:02,R_3G7LGtXMU6fKwaA,,,,,34.26789856,-118.3399048,anonymous,EN,1,1,5,3,,1,4,4,3,3,5,3,"1,2",7,5,4,4,4,4,2,2,,5,7,1,7,7,7,11,6,5,4,4,3,3,6,3,3,3,4,6,4,3,4,2,4,4,4,2,4,6,5,5,5,6,3,4,4,4,,19,12,,,15,3,1,1666888129,KS_G9QDMwM0e9Kt0rP5gAA**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,independent,7,4.333333333,7.333333333,0,1,0
11/27/2019 17:02,11/27/2019 17:04,0,72.35.160.61,100,91,1,11/27/2019 17:04,R_XO0bo85RIHo0ciR,,,,,40.51690674,-93.52420044,anonymous,EN,1,1,6,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1641828538,KS_G9QDMwM3xon2mAe3g0w**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:52,11/27/2019 17:05,0,24.207.212.236,100,742,1,11/27/2019 17:05,R_Wul4dCVBQFg3QSR,,,,,38.57530212,-90.26509857,anonymous,EN,1,2,3,4,,5,1,1,1,3,5,3,"7,8,9,10",7,0,1,7,6,7,5,2,,1,1,1,1,1,1,1,1,1,6,2,7,7,6,6,7,7,4,4,3,4,3,6,3,2,1,1,1,7,1,1,1,1,1,4,3,1,,55,1,,2,13,3,0,1245916926,KS_G9QDMwM3885_c7HSlaA**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,1,1,1,0,0,0
11/27/2019 17:06,11/27/2019 17:07,0,75.97.240.232,100,32,1,11/27/2019 17:07,R_1djbZzukcnHoCfy,,,,,40.83250427,-75.70140076,anonymous,EN,1,1,3,6,,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1501908547,KS_G9QDMwM2QkSaY_IE5vQ**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:06,11/27/2019 17:07,0,173.52.74.124,100,31,1,11/27/2019 17:07,R_1MYwMViURFBHxkW,,,,,40.7263031,-73.98179626,anonymous,EN,1,2,3,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1506065870,KS_G9QDMwM3-NKp6o5CfhQ**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:07,11/27/2019 17:10,0,47.203.211.16,100,172,1,11/27/2019 17:10,R_3sBOk7VRq0Xs1GP,,,,,28.36369324,-82.67590332,anonymous,EN,1,2,5,6,,2,3,4,4,3,1,2,3,7,8,5,4,4,3,4,2,,6,8,6,7,5,9,9,9,7,3,5,5,2,3,3,4,5,1,5,6,7,3,2,3,5,3,4,6,6,3,3,4,3,4,1,3,4,,25,11,christian,,1,1,0,1521821335,KS_G9QDMwM0QTyvbL7r7Ig**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Republican,7,6.666666667,8.333333333,1,0,1
11/27/2019 17:06,11/27/2019 17:16,0,72.220.211.80,100,567,1,11/27/2019 17:16,R_U9nzolRt12sPaaB,,,,,32.81230164,-116.9171982,anonymous,EN,1,2,7,6,,6,2,4,1,3,4,3,"1,3,5,8,10",21,1,1,7,5,4,5,2,,2,1,1,1,2,1,1,5,2,4,5,4,5,5,6,5,6,5,5,4,5,2,5,2,3,7,2,3,6,7,2,4,4,4,4,4,5,,71,12,,,27,1,1,1504449843,KS_G9QDMwM0nPSaJ1Ndxyw**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Democrat,1.333333333,1.333333333,2.666666667,1,1,1
11/27/2019 17:16,11/27/2019 17:16,0,99.30.14.227,100,7,1,11/27/2019 17:16,R_3KZ6hkQUxGkrcx8,,,,,41.76879883,-88.14250183,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1502979623,KS_G9QDMwM0iW6HknDm3Ow**,no_consent,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:02,11/27/2019 17:20,0,67.175.183.245,100,1080,1,11/27/2019 17:20,R_4YC7cFl7R5fDF7P,,,,,42.27389526,-89.04740143,anonymous,EN,1,1,5,6,,5,3,3,3,5,1,2,11,21,1,1,7,4,6,5,2,,1,1,1,1,1,1,1,1,1,6,6,5,6,6,6,4,6,4,5,3,4,4,5,4,5,1,1,1,2,1,1,1,2,1,1,2,3,,58,11,born again,,13,2,0,1281122818,KS_G9QDMwM3ru2r7t8D52A**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,Democrat,1,1,1,0,0,0
11/27/2019 17:19,11/27/2019 17:20,0,98.235.205.117,100,67,1,11/27/2019 17:20,R_1Kf379LhjIUZQeP,,,,,40.17880249,-77.00469971,anonymous,EN,1,1,6,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1502111041,KS_G9QDMwM3-bgVub0SO6A**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:16,11/27/2019 17:20,0,72.76.252.217,100,243,1,11/27/2019 17:20,R_1eUF9L2tkfO18ta,,,,,40.81770325,-73.97709656,anonymous,EN,1,2,7,3,,4,2,4,3,4,"1,3,4",3,"1,2,3,4,5,6,7,8,9,10",20,3,3,5,3,4,4,2,,3,3,1,3,2,3,7,7,9,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,,53,7,,,28,2,0,1276525978,KS_G9QDMwM2Ag_vwEqqSrw**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,Democrat,2.666666667,2.333333333,7.666666667,0,0,1
11/27/2019 17:20,11/27/2019 17:21,0,173.216.11.66,100,81,1,11/27/2019 17:21,R_2QhANKmjGpEtsdJ,,,,,34.94639587,-92.03220367,anonymous,EN,1,1,1,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1504454374,KS_G9QDMwM1Sx2oqqjlhig**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:23,11/27/2019 17:24,0,24.143.30.25,100,10,1,11/27/2019 17:24,R_3sv6hKpyRFL3Wwe,,,,,42.06239319,-104.1917038,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1504351246,KS_G9QDMwM37Bfg8hBC3Zw**,no_consent,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:23,11/27/2019 17:24,0,69.230.152.32,100,14,1,11/27/2019 17:24,R_10OgwiFIzylfuVF,,,,,33.68159485,-117.8302002,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1523093115,KS_G9QDMwM2yclzJgxDqDw**,no_consent,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 17:16,11/27/2019 17:25,0,73.26.144.68,100,521,1,11/27/2019 17:25,R_Z3u9k4cVHSTvVex,,,,,35.13690186,-106.5198975,anonymous,EN,1,2,7,6,,6,3,4,2,4,5,2,"1,2,6,8,9,10",20,9,7,6,6,7,5,2,,7,3,6,6,4,6,12,12,13,6,6,4,5,7,6,4,5,4,6,4,5,3,2,2,1,3,5,5,5,5,5,4,5,6,6,6,6,,75,2,,2,27,2,1,1557796078,KS_G9QDMwM3Px7zvahs-7w**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,Republican,5.333333333,5.333333333,12.33333333,1,1,0
11/27/2019 17:25,11/27/2019 17:26,0,73.107.76.10,100,35,1,11/27/2019 17:26,R_UcESQsb7gEsvbRn,,,,,26.19169617,-81.80390167,anonymous,EN,1,2,5,7,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1502048225,KS_G9QDMwM3dx3KV3M5bbA**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
